商家編號,資本額,交易金額
1,700000,600000
2,380000,350000
3,310000,300000
4,260000,200000
5,1880000,2000000
6,3010000,2500000
7,800000,500000
8,550000,500000
9,410000,300000
10,390000,250000
11,310000,300000
12,2410000,2500000
13,0,0
14,610000,300000
15,680000,550000
16,1200000,1300000
17,2420000,2300000
18,410000,300000
19,500000,500000
20,290000,150000
21,480000,550000
22,760000,850000
23,0,0
24,590000,700000
25,0,0
26,940000,900000
27,1590000,1600000
28,1210000,1200000
29,1140000,1050000
30,0,0
31,550000,500000
32,800000,500000
33,930000,600000
34,1300000,1400000
35,850000,600000
36,480000,450000
37,530000,550000
38,310000,300000
39,720000,750000
40,2370000,2200000
41,410000,200000
42,580000,550000
43,650000,600000
44,670000,650000
45,580000,550000
46,410000,400000
47,0,0
48,410000,400000
49,530000,550000
50,0,0
51,580000,550000
52,0,0
53,430000,350000
54,660000,400000
55,600000,500000
56,500000,500000
57,940000,800000
58,240000,150000
59,910000,1000000
60,260000,300000
61,600000,600000
62,500000,500000
63,170000,100000
64,910000,1200000
65,660000,400000
66,850000,600000
67,5370000,5000000
68,5170000,5000000
69,2080000,2000000
70,530000,350000
71,1210000,1200000
72,0,0
73,0,0
74,430000,350000
75,930000,1000000
