商家編號,資本額,交易金額
1,620000,700000
2,250000,400000
3,160000,200000
4,240000,350000
5,1300000,1700000
6,2600000,3000000
7,700000,600000
8,460000,450000
9,330000,300000
10,350000,400000
11,250000,400000
12,1700000,2000000
13,0,0
14,550000,400000
15,500000,600000
16,940000,1300000
17,1700000,2100000
18,350000,400000
19,380000,500000
20,280000,300000
21,330000,500000
22,560000,900000
23,0,0
24,400000,600000
25,0,0
26,610000,900000
27,1250000,1400000
28,1030000,1400000
29,980000,1000000
30,420000,250000
31,460000,450000
32,700000,600000
33,920000,700000
34,1000000,1200000
35,760000,900000
36,350000,400000
37,360000,450000
38,250000,400000
39,550000,850000
40,1900000,2200000
41,400000,400000
42,430000,500000
43,500000,600000
44,450000,600000
45,430000,500000
46,310000,450000
47,0,0
48,300000,400000
49,360000,450000
50,210000,200000
51,430000,500000
52,0,0
53,320000,250000
54,580000,500000
55,480000,500000
56,400000,600000
57,640000,800000
58,260000,200000
59,780000,1000000
60,180000,300000
61,450000,600000
62,380000,500000
63,150000,150000
64,640000,800000
65,640000,800000
66,700000,600000
67,3600000,4000000
68,3300000,5000000
69,1250000,1500000
70,480000,500000
71,740000,800000
72,940000,800000
73,0,0
74,300000,400000
75,630000,1000000
